2018rank,City,State,2018estimate,2010Census,Change,2016 Land area(sqmi),2016 Land Area(km2),2016 Population Density(sqmi),2016 Population Density(km2),Location,Mayor
189,Miramar,Florida,"140,823","122,041",+15.39,29.4,76.1,"4,709","1,818",25°58′37″N 80°20′09″W / 25.9770°N 80.3358°W / 25.9770; -80.3358 ,Wayne M. Messam
190,Dayton,Ohio,"140,640","141,527",−0.63,55.7,144.3,"2,522",974,39°46′39″N 84°11′59″W / 39.7774°N 84.1996°W / 39.7774; -84.1996 ,Nan Whaley 
191,Fullerton,California,"139,640","135,161",+3.31,22.4,58.0,"6,282",",425",33°53′09″N 117°55′41″W / 33.8857°N 117.9280°W / 33.8857; -117.9280 ,
192,Olathe,Kansas,"139,605","125,872",+10.91,60.9,157.7,"2,225",859,38°53′03″N 94°49′10″W / 38.8843°N 94.8195°W / 38.8843; -94.8195 ,Michael Copeland
193,Orange,California,"139,484","136,416",+2.25,25.4,65.8,"5,532",",136",33°47′13″N 117°51′41″W / 33.7870°N 117.8613°W / 33.7870; -117.8613 ,
194,Thornton,Colorado,"139,436","118,772",+17.40,35.7,92.5,"3,829","1,478",39°55′10″N 104°56′34″W / 39.9194°N 104.9428°W / 39.9194; -104.9428 ,Heidi K. Williams 
195,Roseville,California,"139,117","118,788",+17.11,43.0,111.4,"3,085","1,191",38°46′08″N 121°19′08″W / 38.7690°N 121.3189°W / 38.7690; -121.3189 ,Susan Rohan
196,Denton,Texas,"138,541","113,383",+22.19,93.4,41.9,"1,433",553,33°13′00″N 97°08′29″W / 33.2166°N 97.1414°W / 33.2166; -97.1414 ,
197,Waco,Texas,"138,183","124,805",+10.72,89.0,30.5,"1,510",580,31°33′36″N 97°11′10″W / 31.5601°N 97.1860°W / 31.5601; -97.1860 ,
198,Surprise,Arizona,"138,161","117,517",+17.57,107.9,79.5,"1,230",470,33°40′14″N 112°27′10″W / 33.6706°N 112.4527°W / 33.6706; -112.4527 ,Skip Hall
199,Carrollton,Texas,"136,879","119,097",+14.93,36.3,94.0,"3,674","1,419",32°59′18″N 96°53′59″W / 32.9884°N 96.8998°W / 32.9884; -96.8998 ,Kevin Falconer
200,West Valley City,Utah,"136,401","129,480",+5.35,35.5,91.9,"3,847","1,485",40°41′19″N 112°00′42″W / 40.6885°N 112.0118°W / 40.6885; -112.0118 ,Ron Bigelow 
201,Charleston,South Carolina,"136,208","120,083",+13.43,109.0,82.3,"1,233",476,32°49′04″N 79°57′32″W / 32.8179°N 79.9590°W / 32.8179; -79.9590 ,John Tecklenburg 
